Date,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Added Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Completed
2024-04-26,633.50,0.00,70.00,112.49,2.60,3.53,27.70,2.10,0.83,2.57,234.00,659.00,0.00,230.50,1.55,0.45,330.00,0.02,6.48,62.50,0.04,459.50,189.00,46.20,509.00,2.63,76.05,21.20,0.00,23.69,0.00,54.84,20.92,562.00,6.12,2.12,5.40,0.00,0.10,1.97,0.44,0.45,1.03,1.61,1.36,0.59,1.00,35.17,0.91,0.23,0.77,1.15,false
2024-04-27,633.50,0.00,70.00,112.49,2.60,3.53,27.70,2.10,0.83,2.57,234.00,659.00,0.00,230.50,1.55,0.45,330.00,0.02,6.48,62.50,0.04,459.50,189.00,46.20,509.00,2.63,76.05,21.20,0.00,23.69,0.00,54.84,20.92,562.00,6.12,2.12,5.40,0.00,0.10,1.97,0.44,0.45,1.03,1.61,1.36,0.59,1.00,35.17,0.91,0.23,0.77,1.15,false
2024-04-28,2607.50,0.00,70.00,112.49,0.80,1.42,8.10,2.10,0.83,2.57,66.00,299.00,100.00,230.50,1.55,0.45,230.00,0.02,2.89,62.50,0.04,459.50,189.00,46.20,7675.00,6.63,308.05,22.20,0.00,33.69,0.00,285.84,102.91,747.00,6.12,2.12,37.90,0.00,1.30,1.97,0.44,0.45,1.03,1.61,1.36,0.59,1.00,116.17,0.91,0.23,0.77,1.15,false
2024-04-29,1293.22,0.00,70.00,442.55,2.85,3.90,46.60,4.48,2.14,3.01,252.93,807.52,30.00,241.96,2.56,3.17,411.91,0.53,12.45,181.78,0.78,967.41,1958.41,90.69,649.56,6.60,120.81,27.20,32.60,26.15,0.00,93.53,47.51,742.50,15.24,5.82,16.79,0.77,0.37,4.93,1.21,2.19,4.00,5.90,6.15,2.14,3.33,94.07,3.34,0.92,2.73,4.07,false
2024-04-30,633.50,0.00,70.00,112.49,2.60,3.53,27.70,2.10,0.83,2.57,234.00,659.00,0.00,230.50,1.55,0.45,330.00,0.02,6.48,62.50,0.04,459.50,189.00,46.20,509.00,2.63,76.05,21.20,0.00,23.69,0.00,54.84,20.92,562.00,6.12,2.12,5.40,0.00,0.10,1.97,0.44,0.45,1.03,1.61,1.36,0.59,1.00,35.17,0.91,0.23,0.77,1.15,false
2024-05-01,2063.50,0.00,0.00,866.97,2.97,5.32,81.15,8.71,6.78,15.91,293.00,4455.50,178.40,137.50,6.35,22.95,452.00,1.08,29.41,261.00,2.06,2457.00,4777.00,237.40,1055.00,39.24,151.52,34.40,28.20,43.60,0.00,116.74,52.95,1098.50,19.55,4.60,17.31,1.50,0.26,3.57,2.76,8.70,11.38,20.72,22.40,6.59,10.12,248.21,11.52,2.81,9.00,12.39,false
2024-05-02,1334.72,0.00,70.00,330.62,1.16,1.18,28.50,2.38,1.96,1.34,154.93,328.52,30.60,111.46,1.02,2.72,356.91,0.51,10.49,166.78,0.74,709.41,1769.41,44.49,1620.56,5.03,118.13,20.20,32.60,13.47,0.00,97.87,52.60,213.00,9.13,3.69,21.89,0.77,2.06,2.96,0.77,1.74,2.97,4.29,4.80,1.55,2.33,96.20,2.44,0.69,1.96,2.92,false
2024-05-03,1181.30,0.00,0.00,330.07,0.56,0.53,20.50,2.38,1.31,0.54,154.93,253.52,130.60,11.46,1.02,2.72,214.91,0.51,10.49,152.28,0.74,600.91,1769.41,44.49,1583.56,8.58,137.66,29.90,32.60,15.96,0.00,107.70,31.60,180.50,9.13,3.69,12.89,0.77,0.27,2.96,0.77,1.74,2.97,4.29,4.80,1.55,2.33,88.00,2.44,0.69,1.96,2.92,false
2024-05-04,1019.22,0.00,70.00,422.49,2.60,3.73,27.70,2.10,0.83,2.57,234.00,659.00,0.00,230.50,1.55,0.45,330.00,0.02,6.48,62.50,0.04,459.50,189.00,46.20,689.60,2.63,134.97,22.16,0.00,57.73,0.00,112.80,37.00,563.66,7.51,2.80,17.23,0.00,0.10,1.97,0.44,0.45,1.03,1.61,1.36,0.59,1.00,37.47,0.91,0.23,0.77,1.15,false
2024-05-05,718.60,0.00,0.00,305.04,0.23,0.83,0.47,2.21,0.25,1.77,82.10,226.97,109.89,130.50,2.03,10.57,108.70,0.21,3.30,64.10,0.15,378.60,455.80,46.43,980.30,6.41,70.71,15.47,0.00,26.10,0.00,50.09,33.24,579.50,6.31,2.34,11.45,0.00,1.30,2.18,0.44,0.45,1.05,1.66,1.40,0.59,1.03,37.70,0.93,0.23,0.77,1.19,false
2024-05-06,633.50,0.00,70.00,112.49,2.60,3.53,27.70,2.10,0.83,2.57,234.00,659.00,0.00,230.50,1.55,0.45,330.00,0.02,6.48,62.50,0.04,459.50,189.00,46.20,509.00,2.63,76.05,21.20,0.00,23.69,0.00,54.84,20.92,562.00,6.12,2.12,5.40,0.00,0.10,1.97,0.44,0.45,1.03,1.61,1.36,0.59,1.00,35.17,0.91,0.23,0.77,1.15,false
2024-05-07,583.50,0.00,0.00,111.93,2.00,2.88,19.70,2.10,0.18,1.77,234.00,584.00,0.00,130.50,1.55,0.45,188.00,0.02,6.48,48.00,0.04,351.00,189.00,46.20,442.00,2.18,68.68,21.20,0.00,17.68,0.00,47.47,20.92,559.50,6.12,2.12,5.40,0.00,0.10,1.97,0.44,0.45,1.03,1.61,1.36,0.59,1.00,30.87,0.91,0.23,0.77,1.15,false
2024-06-24,1932.62,0.00,0.00,709.26,1.73,1.13,42.15,6.39,2.57,2.94,279.30,343.57,0.00,244.46,2.74,2.19,463.31,0.47,10.13,139.67,2.32,1005.23,1375.81,142.89,1076.02,10.19,213.34,12.27,109.02,34.65,0.00,200.90,47.14,869.80,13.71,5.36,20.40,0.69,0.46,4.46,2.39,3.55,7.27,11.07,10.69,3.53,5.46,148.68,6.43,1.58,4.51,7.07,false
2024-06-26,3152.39,0.00,0.00,803.43,1.24,1.38,40.51,7.79,2.72,3.17,141.12,343.22,0.00,248.67,11.44,4.72,564.25,0.99,12.94,352.97,3.95,1809.84,1747.08,133.10,2619.32,15.86,363.62,21.70,81.43,48.10,0.00,341.74,111.67,852.33,30.33,41.64,25.96,0.67,1.22,39.93,2.76,4.23,8.20,13.78,11.38,4.04,6.63,166.71,7.36,1.84,5.52,8.35,false
2024-06-27,2723.39,0.00,0.00,772.69,1.13,1.21,33.13,6.91,2.32,2.88,112.80,290.57,0.00,243.45,6.70,2.81,469.29,0.77,12.55,229.45,3.11,1302.32,1338.87,108.51,1616.42,12.50,353.00,10.85,40.72,73.39,0.00,342.05,77.99,801.60,19.59,22.79,21.69,0.40,0.77,21.71,2.40,3.45,6.99,11.39,9.81,3.40,5.50,144.18,6.30,1.55,4.54,7.03,false
2024-06-28,2441.89,0.00,0.00,342.88,0.15,0.32,8.40,2.03,0.91,1.77,13.30,197.54,0.00,3.77,0.90,3.60,601.52,0.35,10.23,46.12,1.47,371.74,1063.00,23.42,1369.04,5.53,376.55,21.82,0.00,111.16,2.80,354.73,56.60,201.09,8.52,1.32,33.81,1.11,0.14,0.65,1.17,1.62,3.26,5.69,5.18,1.45,2.28,97.17,3.39,0.71,2.01,3.22,false
2024-06-29,4640.15,0.00,70.00,685.63,1.06,1.95,39.39,7.05,2.74,3.88,114.65,463.77,0.00,245.19,7.11,4.35,989.23,0.78,27.12,248.49,3.11,1490.77,1651.14,116.36,2401.69,11.05,670.99,21.51,40.72,224.73,0.00,649.39,128.64,863.73,23.46,23.30,49.38,0.93,0.82,21.92,2.49,3.78,7.40,12.16,10.66,3.64,5.86,190.24,6.72,1.65,4.87,7.47,false
2024-06-30,3291.59,0.00,70.00,1049.48,1.80,2.52,50.69,9.19,3.89,6.17,756.32,472.97,4.00,246.32,8.03,17.30,815.38,1.48,17.23,457.50,4.31,2192.95,3150.59,157.20,2185.67,19.55,387.59,51.91,78.92,37.73,0.00,335.59,90.25,951.05,25.85,24.16,29.24,1.17,0.87,22.65,3.10,5.91,10.22,17.35,15.97,4.92,8.96,222.23,9.29,2.34,7.02,10.68,false
2024-07-01,1456.40,0.00,70.00,385.04,0.27,1.04,25.76,4.87,1.50,2.37,78.53,339.07,0.00,141.96,2.41,2.04,410.46,0.27,4.32,85.68,0.81,761.06,1139.71,95.14,1009.78,4.87,128.08,10.66,0.00,23.02,0.00,117.40,43.95,827.30,12.64,4.61,19.51,0.65,0.37,3.84,2.03,2.88,6.11,9.26,9.09,2.92,4.42,125.61,5.49,1.31,3.72,5.82,false
2024-07-02,1404.67,0.00,70.00,261.77,0.16,0.53,13.29,2.83,0.81,1.17,41.10,181.03,3.63,70.25,1.04,0.52,264.00,0.21,3.44,50.90,0.77,412.65,805.05,47.50,1539.60,2.84,144.10,3.43,0.00,16.75,0.00,140.66,46.60,439.25,4.72,2.14,17.78,0.09,0.17,1.89,1.41,1.70,3.96,6.12,5.78,1.76,2.69,95.29,3.73,0.83,2.29,3.70,false
2024-07-03,1609.75,0.00,70.00,672.26,0.37,0.83,39.77,6.41,2.25,1.85,57.30,139.00,0.00,80.25,1.58,1.13,238.65,0.60,5.30,137.70,2.27,979.95,1195.40,96.30,489.50,6.94,186.90,0.00,0.00,8.35,0.00,186.89,24.91,594.75,8.03,4.31,7.82,0.27,0.41,3.70,2.40,3.84,7.64,11.56,11.38,3.70,5.65,145.48,6.68,1.66,4.70,7.36,false
2024-07-04,1415.46,0.00,70.00,809.10,0.39,1.20,27.28,5.89,1.91,2.34,154.89,471.50,55.26,140.50,2.64,51.46,377.48,0.50,5.79,131.95,1.77,886.83,1480.21,95.50,572.73,5.95,161.82,6.35,0.11,33.54,0.00,153.62,28.54,789.50,9.46,4.50,8.99,0.18,0.42,3.87,2.15,3.03,6.41,9.77,9.37,3.04,4.73,121.25,5.72,1.38,3.91,6.20,false
2024-07-05,1520.47,0.00,70.00,933.57,0.53,1.25,27.66,6.23,1.94,2.34,320.77,772.45,52.44,140.50,3.35,185.49,482.77,0.64,13.33,187.93,2.95,1010.72,1687.10,102.17,659.96,6.78,181.83,9.56,16.00,33.79,0.00,170.42,30.54,789.50,10.11,5.23,9.38,0.18,0.46,4.56,2.27,3.12,6.57,10.08,9.59,3.11,4.94,125.07,5.85,1.44,4.04,6.43,false
2024-07-06,2274.72,112.26,70.00,1012.98,0.43,1.64,20.97,4.68,1.55,2.20,277.75,623.65,19.68,138.42,3.08,158.99,661.51,0.21,4.15,159.15,0.56,746.44,1731.88,75.72,1508.06,3.18,130.92,22.23,0.03,37.27,0.00,108.63,55.60,780.11,14.31,4.03,28.87,1.02,0.35,3.07,1.55,1.84,4.34,6.64,6.38,1.97,2.99,108.98,4.07,0.91,2.56,4.06,false
